model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","raw_plugin",256,4,0.018779471091351155,0.012220582458439821,0.09799515482256993,119
"3B","raw_plugin",256,8,0.023806526477584456,0.0178059416301648,0.09177935402646042,119
"3B","raw_plugin",256,16,0.029824506591362016,0.01616694890183712,0.17164045825786278,119
"3B","raw_plugin",256,32,0.045403674548389325,0.02817291101576158,0.3007761532399838,119
"3B","raw_plugin",256,48,0.05715313939304571,0.024022310602177077,0.37857067917967957,119
"3B","raw_plugin",256,64,0.06700977782752827,0.029741006821530303,0.42512187531881535,119
"3B","raw_plugin",256,128,0.0960892487319059,0.03267841709592817,0.48551714593987927,119
"3B","raw_plugin",256,256,0.12414238367094454,0.04350221543137034,0.7510956094367015,119
"3B","raw_plugin",512,1,0.011074547006302522,0.0078125,0.05224609375,119
"3B","raw_plugin",512,2,0.011714592701246758,0.008139848709106445,0.055762529373168945,119
"3B","raw_plugin",512,4,0.014108191157526253,0.008795583601454382,0.09109423804369499,119
"3B","raw_plugin",512,8,0.017771159595683574,0.011830157581029541,0.10993767822215461,119
"3B","raw_plugin",512,16,0.02199998465207362,0.011350308231408701,0.13969170673825532,119
"3B","raw_plugin",512,32,0.031523722122902956,0.01972845093316622,0.18661398958145203,119
"3B","raw_plugin",512,48,0.03969777656116281,0.025649189231456843,0.24639824049256653,119
"3B","raw_plugin",512,64,0.04672868161918829,0.022938488526575415,0.28709809446840695,119
"3B","raw_plugin",512,128,0.06745589325685769,0.036347288989181714,0.37388444502575535,119
"3B","raw_plugin",512,256,0.0866562002959305,0.03188392645310678,0.572112420504491,119
"3B","raw_plugin",1024,1,0.008366432510504201,0.005859375,0.0556640625,119
"3B","raw_plugin",1024,2,0.009017088833977194,0.005825519561767578,0.06202435493469238,119
"3B","raw_plugin",1024,4,0.011714828011079823,0.00751883034962475,0.07663420149134481,119
"3B","raw_plugin",1024,8,0.015135774340735451,0.009160428479354749,0.08049313050533857,119
"3B","raw_plugin",1024,16,0.01745328280984216,0.012020496358757543,0.08509862786086286,119
"3B","raw_plugin",1024,32,0.021607328395056878,0.012238999125315675,0.13404695980732445,119
"3B","raw_plugin",1024,48,0.026491972337851357,0.01669715172791908,0.17256934104988367,119
"3B","raw_plugin",1024,64,0.0310005446141347,0.01763743195301737,0.1898627497003411,119
"3B","raw_plugin",1024,128,0.04419665336339539,0.024367798411691788,0.24753909254847667,119
"3B","raw_plugin",1024,256,0.06102312735832606,0.02394226302020225,0.3642121932890462,119
"3B","tail_smoothed_moment",8,1,0.08595801601890757,0.05126953125,0.41748046875,119
"3B","tail_smoothed_moment",8,2,0.09245913302531096,0.04992779095967611,0.4207918643951416,119
"3B","tail_smoothed_moment",8,4,0.10801291171614567,0.04873702600027252,0.5506905254624334,119
"3B","tail_smoothed_moment",8,8,0.12418879562176566,0.04933986253302636,0.6608816774067081,119
"3B","tail_smoothed_moment",8,16,0.13662142518085424,0.044774684590283234,0.7570228571516104,119
"3B","tail_smoothed_moment",8,32,0.14394971102190904,0.05086925643449669,0.8919552326276221,119
"3B","tail_smoothed_moment",8,48,0.14618304976426325,0.04075343377039065,0.921667206582918,119
"3B","tail_smoothed_moment",8,64,0.1474570151780696,0.042304181231757054,0.9278644719948783,119
"3B","tail_smoothed_moment",8,128,0.15141456594984926,0.03900842998658415,0.9773622236357282,119
"3B","tail_smoothed_moment",8,256,0.1578395013292217,0.03231336126340134,0.996397336799521,119
"3B","tail_smoothed_moment",16,1,0.055815881039915964,0.04296875,0.2080078125,119
"3B","tail_smoothed_moment",16,2,0.0579288807235846,0.0359799861907959,0.2669830322265625,119
"3B","tail_smoothed_moment",16,4,0.07022940949665116,0.029604087613506636,0.3957833675601705,119
"3B","tail_smoothed_moment",16,8,0.08503546518367852,0.04496887077658607,0.6001422158879843,119
"3B","tail_smoothed_moment",16,16,0.09861068077341693,0.040796836574372414,0.7875933838437228,119
"3B","tail_smoothed_moment",16,32,0.10750644136650886,0.049310105666797,0.8962833644325091,119
"3B","tail_smoothed_moment",16,48,0.10999727464511108,0.04904463716472067,0.9222041641796024,119
"3B","tail_smoothed_moment",16,64,0.11124651825996487,0.046274366827287645,0.9279288225573061,119
"3B","tail_smoothed_moment",16,128,0.11590174433507938,0.04817216043825956,0.9256788164545954,119
"3B","tail_smoothed_moment",16,256,0.12683209437081489,0.03372490175882016,0.9381277073702114,119
"3B","tail_smoothed_moment",32,1,0.04297941832983193,0.03515625,0.1748046875,119
"3B","tail_smoothed_moment",32,2,0.0448804835311505,0.02643132209777832,0.19660000801086425,119
"3B","tail_smoothed_moment",32,4,0.055582761270722994,0.03290459894168407,0.24741721077339207,119
"3B","tail_smoothed_moment",32,8,0.06838191235762633,0.030581022081629605,0.3802888473579359,119
"3B","tail_smoothed_moment",32,16,0.08482985776282283,0.039027479505846285,0.5148294474621313,119
"3B","tail_smoothed_moment",32,32,0.0988364949563977,0.03536754665112064,0.6332524661468586,119
"3B","tail_smoothed_moment",32,48,0.10476746213061146,0.04075343343898827,0.678526517080154,119
"3B","tail_smoothed_moment",32,64,0.10797527017348198,0.04021306212309144,0.6961985837120677,119
"3B","tail_smoothed_moment",32,128,0.1132575381932678,0.04817216043825956,0.6821402116528841,119
"3B","tail_smoothed_moment",32,256,0.11755495205473329,0.041902551125780535,0.6966495779442945,119
"3B","tail_smoothed_moment",64,1,0.02550141150210084,0.01806640625,0.1240234375,119
"3B","tail_smoothed_moment",64,2,0.028822672467271822,0.018492460250854492,0.14241552352905273,119
"3B","tail_smoothed_moment",64,4,0.03754681719285762,0.021203454254532517,0.2229217576128235,119
"3B","tail_smoothed_moment",64,8,0.05062854063474918,0.03327748053206758,0.26094111230607964,119
"3B","tail_smoothed_moment",64,16,0.0631552069462868,0.03375283857556477,0.2905943246382665,119
"3B","tail_smoothed_moment",64,32,0.0758248877653449,0.030945054023939402,0.4409925330696308,119
"3B","tail_smoothed_moment",64,48,0.08163779394254936,0.0330078446356481,0.5178427155160551,119
"3B","tail_smoothed_moment",64,64,0.08560673298800456,0.03679437070398386,0.5605723998581358,119
"3B","tail_smoothed_moment",64,128,0.09317708104807422,0.03713093631629512,0.6221851749292134,119
"3B","tail_smoothed_moment",64,256,0.09926571658005795,0.02634223040123197,0.707940170009632,119
"3B","tail_smoothed_moment",128,1,0.016522109554048904,0.0107421875,0.11248224431818188,119
"3B","tail_smoothed_moment",128,2,0.018351236311327533,0.011983654715798209,0.1280972307378596,119
"3B","tail_smoothed_moment",128,4,0.025256168409781416,0.014732451470536034,0.15012973656536133,119
"3B","tail_smoothed_moment",128,8,0.0337286434703313,0.02381997790562529,0.2438696555134912,119
"3B","tail_smoothed_moment",128,16,0.043632252164632,0.022552855913597042,0.3466945455679091,119
"3B","tail_smoothed_moment",128,32,0.05917214901204679,0.021953422357005703,0.4555489120837791,119
"3B","tail_smoothed_moment",128,48,0.07020580475968516,0.026729310229946207,0.521263400071116,119
"3B","tail_smoothed_moment",128,64,0.07720274307772272,0.028516465740959146,0.5647477645107613,119
"3B","tail_smoothed_moment",128,128,0.08748004855719975,0.02646891019618236,0.6329032874438768,119
"3B","tail_smoothed_moment",128,256,0.09488081846307897,0.026341812598055302,0.6411429649282739,119
"3B","tail_smoothed_moment",256,1,0.013692391018907563,0.010498046875,0.06201171875,119
"3B","tail_smoothed_moment",256,2,0.014061677355726226,0.009855031967163086,0.08665990829467773,119
"3B","tail_smoothed_moment",256,4,0.018656091406794417,0.01221982499259866,0.09414208706687077,119
"3B","tail_smoothed_moment",256,8,0.024759878555788775,0.0178919437718671,0.09706179917267249,119
"3B","tail_smoothed_moment",256,16,0.03221608110802991,0.019741019527446127,0.15311506548742732,119
"3B","tail_smoothed_moment",256,32,0.045830083388401714,0.02195395229724828,0.24913318613301577,119
